symptoms	gold sentences	generated sentences
diarrhea,reflux,hiccup,vomit,heartburn,stomach ache	Abdominal pain, diarrhea, vomiting, heartburn, belching, acid reflux?	How long has it been? Is there a stomach ache, a gastric worm?
gastrointestinal disorders,allergy,bowel	Hello, considering your symptoms, functional gastrointestinal disease (also called gastrointestinal dysfunction) is currently considered. There are many nerve endings and endocrine cells in the gastrointestinal tract. If your nerves and endocrine cells are more sensitive, they will respond to mild stimuli in the environment and cause gastrointestinal dysfunction. Therefore, gastrointestinal dysfunction is closely related to mental state, mental state, eating habits and sleep. It is recommended that you mainly improve the disease through diet and lifestyle adjustments: 1. Regular and restrained diet regularly and quantitatively and chewing slowly is conducive to intestinal digestion and absorption, and avoid overeating; 2. Avoid irritating diets that are suspicious. Tolerate or allergic foods, such as shrimp, crabs, etc. try not to eat, spicy, frozen, raw and cold foods, supper, tobacco, alcohol, and coffee should be contraindicated; 3. Avoid high-fat diets that are light, easy to digest, and less greasy. High-fat diet can cause abnormal digestive function. Therefore, it is necessary to limit the intake of fat, especially the intake of animal fat; try not to eat fried food, chocolate, ice cream, cream, etc. Take it for 2 weeks to see the effect. If it is effective, take it for another 2-4 weeks. Stop the drug after the symptoms are basically improved; if the effect is not good, please promptly perform gastrointestinal endoscopy and abdominal ultrasound to confirm the diagnosis before targeted treatment. The specific medications are: 1. Kayaking capsules, 2 capsules once, 3 times a day; 2. Trimebutine male ate tablets, 2 tablets once, 3 times a day, taken with meals. Hopefully my answer is helpful to you! healthy and happy!	What's wrong with the gastrointestinal disorders? Are there any other symptoms?
bloating,heartburn	Hello, have you ever taken medicine or checked during this period. Is it bloating, heartburn?	What are the symptoms of bloating? Have you had a fever?
bloating,reflux,hiccup,heartburn,stomach ache	Are there any other symptoms besides acid reflux water? Such as heartburn, belching, abdominal pain, bloating? Is the stool normal?	What's the cause of the stomach ache? Is the shit normal?
hematemesis,fever	If you vomit blood, you must be hospitalized immediately! If you have a fever again, you may be infected. Go to the hospital and don’t delay.	How long has it been? Have you ever had a fever, a stomach disease?
hard to swallow	Is the infarction tired of eating? Can't swallow.	How long has this been going on? How many times a day does it take to eat?
bloating,reflux,hiccup,vomit,nausea	Hmm, nausea, vomiting, acid reflux, hiccups and bloating?	What are the symptoms of bloating, hiccup, vomiting, etc.?
indigestion,bloating,vomit	Then don't worry, as long as you don't cause gastrointestinal mucosal damage or even bleeding after drinking too much, you don't have to worry about it. Sleep will be better tomorrow. Stomach bloating and vomiting are caused by drinking too much alcohol.	What's the cause of the indigestion?
bacterial infections,vomit	This is for the pain caused by bacterial infection, but indoor cannot be taken, but you can use it for local disinfection, and then spit it out will not have any effect on your health, because I have tried it myself. Don’t take indoor. Too much, don't get too wet.	What are the symptoms of bacterial infections?
restless,gastrointestinal discomfort	Well, based on the analysis of the symptoms you described, the gastrointestinal function is not good, how do you sleep well? Is there any discomfort such as anxiety?	How long has this been going on? Are you sick of your stomach?
bloating,exhaust,stomach ache	Do you fart too much? Do you have abdominal pain and bloating?	What's the cause of the stomach ache? Is it bloating?
nausea,hiccup,heartburn,reflux	There is no need to eat so much, do you have symptoms such as acid reflux, heartburn, hiccups and nausea?	What are the symptoms of hiccup fever? Have you ever had a stomach swollen?
gastrointestinal disorders,gastrointestinal discomfort,reflux	The gastrointestinal dysfunction caused by cold, coupled with the previous gastrointestinal dysfunction, there is a bit of reflux symptoms.	What's wrong with your stomach? Is there a stomach problem?
stomachache,reflux	Hello, do you usually have a stomachache? Are there any symptoms of acid reflux?	How long has it been? Have you had a stomachache?
chest pain,fever	Hello, I am glad to answer it for you. Do you have fever and chest pain?	How long has it been? Have you had a chest pain?
